operator,name,description,code_block
"c1c","HB Multi-bracket","Implements DEHB's multi-bracket multi-fidelity strategy (Hyperband + Differential Evolution), replacing traditional random/Bayesian sampling with DE for high-quality candidates and leveraging Hyperband's hierarchical resource allocation to screen elites efficiently with limited budget.","from ConfigSpace import ConfigurationSpace, CategoricalHyperparameter; from dehb import DEHB;# Step 1: Core DEHB calling and implementation logic (Hyperband + DE + Multi-fidelity); def run_tuners(file, budget, seed, maxlives): random.seed(seed); independent_set = file.independent_set; used_budget = 0; consecutive_no_improve = 0; best_result = float('inf'); history_configs = {}; # Step 2: Construct ConfigurationSpace (matching independent set, for DEHB's parameter space definition); cs = ConfigurationSpace(seed=seed); for i, values in enumerate(independent_set): param = CategoricalHyperparameter(name=f'param_{i}', choices=values, default_value=values[0]); cs.add(param); dimensions = len(list(cs.values())); # Step 3: Initialize DEHB optimizer (core of Hyperband + DE + Multi-fidelity configuration); dehb = DEHB(cs=cs, dimensions=dimensions, min_fidelity=1, max_fidelity=2, eta=3, seed=seed, n_workers=1, output_path='./dehb_logs'); # Step 4: Iterative DEHB calling loop (ask-tell interface to trigger DE sampling and multi-bracket evaluation); while used_budget < budget and consecutive_no_improve < maxlives: # Ask DEHB for a new candidate config (generated via Differential Evolution); job_info = dehb.ask(); config = job_info['config']; # Convert DEHB config to list format matching evaluation requirement; config_list = [config[f'param_{i}'] for i in range(len(independent_set))]; # Evaluate the config and track budget/performance/non-improvement; ini_consecutive_no_improve = consecutive_no_improve; ini_used_budget = used_budget; used_budget, consecutive_no_improve, history_configs, best_result, score, similar_config = evaluate(used_budget, consecutive_no_improve, history_configs, best_result, config_list); # Skip if evaluation has no effective update; if ini_consecutive_no_improve == consecutive_no_improve - 1 and ini_used_budget == used_budget: continue; # Tell DEHB the evaluation result (to update DE population and Hyperband brackets); dehb.tell(job_info=job_info, result={'fitness': score, 'cost': 1}); # Break loop if budget or non-improvement constraint is hit; if used_budget >= budget or consecutive_no_improve >= maxlives: break; return best_result"
"c1b","HB Multi-bracket","Implements BOHB's multi-bracket multi-fidelity strategy (Hyperband + Bayesian Optimization), combining Hyperband's resource allocation with Bayesian surrogate guidance to screen high-quality configurations efficiently while balancing exploration and exploitation.","from hpbandster.core.nameserver import NameServer; from hpbandster.core.worker import Worker; from hpbandster.optimizers import BOHB; import ConfigSpace as CS; import serpent;# Step 1: Numpy serialization handler for hpbandster/serpent compatibility (resolve numpy type serialization issues); def numpy_serpent_handler(obj, serializer, outputstream, indentlevel): if isinstance(obj, np.integer): serializer._serialize(int(obj), outputstream, indentlevel); elif isinstance(obj, np.floating): serializer._serialize(float(obj), outputstream, indentlevel); elif isinstance(obj, np.ndarray): serializer._serialize(obj.tolist(), outputstream, indentlevel); elif isinstance(obj, np.str_): serializer._serialize(str(obj), outputstream, indentlevel); elif isinstance(obj, np.bool_): serializer._serialize(bool(obj), outputstream, indentlevel); else: raise serpent.Serializer.UnsupportedTypeError; # Register numpy serialization handler; serpent._special_classes_registry[np.integer] = numpy_serpent_handler; serpent._special_classes_registry[np.floating] = numpy_serpent_handler; serpent._special_classes_registry[np.ndarray] = numpy_serpent_handler; serpent._special_classes_registry[np.str_] = numpy_serpent_handler; serpent._special_classes_registry[np.bool_] = numpy_serpent_handler; # Step 2: Custom Worker class (provides configuration space and evaluation logic for BOHB); class MyWorker(Worker): def __init__(self, file, seed,*args, **kwargs): super().__init__(*args, **kwargs); self.file = file; self.seed = seed; self.task_history = []; # Evaluate configuration and record task history; def compute(self, config, budget,** kwargs): config_list = [config[param_name] for param_name in self.file.features]; _, _, _, _, score, similar_config = evaluate(0, 0, {}, 0, config_list); self.task_history.append( (similar_config, score) ); return {'loss': score}; # Construct categorical configuration space matching independent set (for BOHB's Bayesian sampling); def get_configspace(self): cs = CS.ConfigurationSpace(seed=self.seed); for idx, (param_name, param_values) in enumerate(zip(self.file.features, self.file.independent_set)): valid_values = [v for v in param_values]; unique_values = list(set(valid_values)); unique_values.sort(); cs.add(CS.CategoricalHyperparameter(name=param_name, choices=unique_values)); return cs; # Step 3: Core BOHB calling logic (Hyperband + Bayesian + Multi-fidelity); def run_tuners(file, budget, seed, maxlives): random.seed(seed); np.random.seed(seed); used_budget=0; consecutive_no_improve=0; best_result = float('inf'); history_configs = {}; # Initialize logging and nameserver (hpbandster's communication core); logging.basicConfig(level=logging.WARNING); ns = NameServer(run_id='hpbandster_demo', host='127.0.0.1', port=None); ns.start(); # Initialize custom worker and run in background; worker = MyWorker(file=file, seed=seed, run_id='hpbandster_demo', nameserver='127.0.0.1'); worker.run(background=True); # Initialize BOHB optimizer (core of Hyperband + Bayesian + Multi-fidelity); bohb = BOHB(configspace=worker.get_configspace(), run_id='hpbandster_demo', nameserver='127.0.0.1', min_budget=1, max_budget=1); # Iteratively run BOHB to trigger multi-bracket evaluation and Bayesian sampling; processed_tasks = 0; while used_budget<budget and consecutive_no_improve<maxlives: bohb.run(n_iterations=1); # BOHB internally runs Hyperband brackets + Bayesian sampling here; new_tasks = worker.task_history[processed_tasks:]; # Evaluate new Bayesian-sampled configurations; for i, (similar_config, score) in enumerate(new_tasks, 1): used_budget, consecutive_no_improve, history_configs, best_result, score, similar_config = evaluate(used_budget, consecutive_no_improve, history_configs, best_result, similar_config); if used_budget >= budget or consecutive_no_improve >= maxlives: break; processed_tasks = len(worker.task_history); # Shutdown BOHB and nameserver to release resources; bohb.shutdown(shutdown_workers=True); ns.shutdown(); return best_result"
"c1a","HB Multi-bracket","Implements Hyperband's multi-bracket multi-fidelity strategy with random sampling, hierarchically evaluating configurations at low resources first and retaining elites for higher-resource evaluation to save budget and improve optimization efficiency.","from hpbandster.core.nameserver import NameServer; from hpbandster.core.worker import Worker; from hpbandster.optimizers import HyperBand; import ConfigSpace as CS; import serpent; import random;# Step 1: Numpy serialization handler for hpbandster/serpent compatibility; def numpy_serpent_handler(obj, serializer, outputstream, indentlevel): if isinstance(obj, np.integer): serializer._serialize(int(obj), outputstream, indentlevel); elif isinstance(obj, np.floating): serializer._serialize(float(obj), outputstream, indentlevel); elif isinstance(obj, np.ndarray): serializer._serialize(obj.tolist(), outputstream, indentlevel); elif isinstance(obj, np.str_): serializer._serialize(str(obj), outputstream, indentlevel); elif isinstance(obj, np.bool_): serializer._serialize(bool(obj), outputstream, indentlevel); else: raise serpent.Serializer.UnsupportedTypeError; serpent._special_classes_registry[np.integer] = numpy_serpent_handler; serpent._special_classes_registry[np.floating] = numpy_serpent_handler; serpent._special_classes_registry[np.ndarray] = numpy_serpent_handler; serpent._special_classes_registry[np.str_] = numpy_serpent_handler; serpent._special_classes_registry[np.bool_] = numpy_serpent_handler; # Step 2: Custom Worker class (for config sampling/evaluation, random sampling inside Hyperband); class MyWorker(Worker): def __init__(self, file, seed,*args, **kwargs): super().__init__(*args, **kwargs); self.file = file; self.seed = seed; self.task_history = []; def compute(self, config, budget,** kwargs): config_list = [config[param_name] for param_name in self.file.features]; _, _, _, _, score, similar_config = evaluate(0, 0, {}, 0, config_list); self.task_history.append( (similar_config, score) ); return {'loss': score}; def get_configspace(self): cs = CS.ConfigurationSpace(seed=self.seed); for idx, (param_name, param_values) in enumerate(zip(self.file.features, self.file.independent_set)): valid_values = [v for v in param_values]; unique_values = list(set(valid_values)); unique_values.sort(); cs.add(CS.CategoricalHyperparameter(name=param_name, choices=unique_values)); return cs; # Step 3: Initialize Hyperband components and call the multi-bracket optimizer; def run_tuners(file, budget, seed, maxlives): random.seed(seed); np.random.seed(seed); used_budget=0; consecutive_no_improve=0; best_result = float('inf'); history_configs = {}; # Initialize nameserver; logging.basicConfig(level=logging.WARNING); ns = NameServer(run_id='hpbandster_demo', host='127.0.0.1', port=None); ns.start(); # Initialize worker (provides random sampling space via get_configspace); worker = MyWorker(file=file, seed=seed, run_id='hpbandster_demo', nameserver='127.0.0.1'); worker.run(background=True); # Initialize Hyperband (core multi-bracket multi-fidelity optimizer with random sampling); hb = HyperBand(configspace=worker.get_configspace(), run_id='hpbandster_demo', nameserver='127.0.0.1', min_budget=1, max_budget=1); # Run Hyperband iteratively (trigger random sampling and multi-bracket evaluation); processed_tasks = 0; while used_budget<budget and consecutive_no_improve<maxlives: hb.run(n_iterations=1); # Hyperband internally random samples configs here; new_tasks = worker.task_history[processed_tasks:]; # Evaluate new random sampled configs; for i, (similar_config, score) in enumerate(new_tasks, 1): used_budget, consecutive_no_improve, history_configs, best_result, score, similar_config = evaluate(used_budget, consecutive_no_improve, history_configs, best_result, similar_config); if used_budget >= budget or consecutive_no_improve >= maxlives: break; processed_tasks = len(worker.task_history); # Shutdown resources; hb.shutdown(shutdown_workers=True); ns.shutdown(); return best_result"
"b4a","Momentum Model","Quantifies configuration performance uncertainty and predicts convergence via weighted linear regression on historical losses (or fixed values for insufficient data), outputting a (mu, sigma) distribution for candidate screening.","from scipy.stats import norm; for c in candidates_sorted: config_history = c['history']; losses = [h[2] for h in config_history]; t = len(losses); if t < 2: dist = (losses[-1], 1.0); else: k_list = np.array([[1 / i ** 0.5, 1 / i] for i in range(1, t + 1)]); A = np.hstack([np.ones((t, 1)), k_list]); W = np.diag([1 / (i ** 0.5) for i in range(1, t + 1)]); y = np.array(losses).reshape(-1, 1); beta = np.linalg.inv(A.T @ W @ A) @ A.T @ W @ y; mu = beta[0, 0]; sigma = np.var(y - A @ beta); dist = (float(mu), float(sigma)); c['dist'] = dist"
"d15a","Quantifying Uncertainty in the Training Process","Calculates the joint probability that top-k candidates contain the optimal solution using Gaussian CDF on their (mu, sigma) distributions, generating a probability array to quantify candidate quality uncertainty.","from scipy.stats import norm; candidates_sorted = sorted(candidates, key=lambda x: x['current_score']); n = len(candidates_sorted); P = [0.0] * n; for k in range(n): top_k = candidates_sorted[:k + 1]; joint_prob = 1.0; for i in range(k + 1): mu_i, sigma_i = top_k[i]['dist']; for j in range(n): if j > k: mu_j, sigma_j = candidates_sorted[j]['dist']; prob = norm.cdf((mu_j - mu_i) / np.sqrt(sigma_i ** 2 + sigma_j ** 2)); joint_prob *= prob; P[k] = joint_prob"
"eb2e","Probabilistic Mutation","Generates new candidate configurations by probabilistically mutating elite configurations at a fixed rate (gamma=0.1), replacing parameter values with random valid options to introduce diversity while preserving elite traits.","gamma = 0.1; new_config = c['config'].copy(); for i in range(len(new_config)): if random.random() < gamma: new_config[i] = random.choice(independent_set[i])"
"ee12a","Dynamically Screen Partial Candidates Based on Top-k Configurations Containing Optimal Solutions","Dynamically retains the smallest top-k candidates meeting a confidence threshold (tau=0.9) for containing the optimal solution (capped by remaining budget) to save resources and focus on high-quality configurations.","tau = 0.9; remaining = budget - used_budget; k = next((i for i, p in enumerate(P) if p >= tau), len(candidates_sorted) - 1); max_keep = min(k + 1, remaining); keep_candidates = candidates_sorted[:max_keep]"
"b2c","Random Forest","Constructs a 10-tree Random Forest regression model (for SMAC) to predict configuration performance and uncertainty, trained on log-transformed scaled scores and only initialized with ≥2 historical configurations.","from sklearn.ensemble import RandomForestRegressor; tuner_n_trees = 10; if len(tuner_X) >= 2: y_values = np.array(tuner_y); min_value = -1e-5; y_non_negative = np.maximum(y_values, min_value) - min_value + 1e-5; scale_factor = 1e5; y_scaled = y_non_negative * scale_factor; y_log = np.log1p(y_scaled); tuner_model = RandomForestRegressor(n_estimators=tuner_n_trees, random_state=42, n_jobs=-1); tuner_model.fit(tuner_X, y_log); else: tuner_model = None"
"f1h","Maximum Expected Improvement (EI)","Selects SMAC's optimal candidate by calculating Maximum EI (balancing exploitation and exploration), using Random Forest predictions (or random values for insufficient data) and sorting candidates by EI to pick the top one.","num_candidates = 1000; candidate_ei_list = []; for candidate_config in candidates: if tuner_model is None: ei_value = random.random(); else: ei_features = []; for i, val in enumerate(candidate_config): param_values = tuner_param_space[i]; ei_features.append(param_values.index(val)); y_preds = [tree.predict([ei_features])[0] for tree in tuner_model.estimators_]; mu = np.mean(y_preds); sigma = np.std(y_preds); incumbent_score_non_negative = max(tuner_incumbent_score, -1e-5) - (-1e-5) + 1e-5; incumbent_score_scaled = incumbent_score_non_negative * 1e5; f_min = np.log1p(incumbent_score_scaled); if sigma < 1e-6: ei_value = 0.0; else: z = (f_min - mu) / sigma; cdf = 0.5 * (1 + math.erf(z / np.sqrt(2))); pdf = np.exp(-0.5 * z ** 2) / np.sqrt(2 * np.pi); ei_value = (f_min - mu) * cdf + sigma * pdf; candidate_ei_list.append((candidate_config, ei_value)); candidate_ei_list.sort(key=lambda x: x[1], reverse=True); next_config = candidate_ei_list[0][0]"
"d14a","Probabilistic Random Restart","Triggers a random restart with fixed probability (0.01) to escape local optima, reinitializing the current configuration with random valid parameters and updating performance metrics.","p_restart = 0.01; if random.random() < p_restart: current_config = [random.choice(hyperparameters[param]) for param in param_names]; ini_consecutive_no_improve = consecutive_no_improve; ini_used_budget = used_budget; used_budget, consecutive_no_improve, history_configs, best_result, current_score, similar_config = evaluate(used_budget, consecutive_no_improve, history_configs, best_result, current_config); if used_budget >= budget or consecutive_no_improve >= maxlives: break; if ini_consecutive_no_improve == consecutive_no_improve - 1 and ini_used_budget == used_budget: continue"
