tuner,description
"ATConf","ATConf is a tuner that first constructs an initial dataset of configurations and performance scores via random sampling (up to 5 samples), and encodes categorical (string/bool) and other configuration values for numerical processing. Its core operation is to adopt a Gaussian Process Regressor with Matern kernel (nu=2.5) combined with the Expected Improvement (EI) criterion to screen high-quality candidate configurations on a randomly sampled subset of configuration dimensions. For discarded dimensions, it reuses historical optimal configuration values with an 80% probability and fills the rest with random sampling, while iteratively updating the performance history and optimal results."
"BestConfig","BestConfig is a tuner that, when no optimal configuration is available, first generates random configurations and encodes categorical values for numerical processing to establish an initial performance baseline. Its core feature is constructing a bounded search space around the current optimal configuration, dynamically expanding or contracting the allowable range of configurations via the expand_factor parameter (doubling on non-improvement, with an upper limit of 10), and randomly sampling new configurations within this constrained space while dynamically updating the optimal configuration and search space."
"BOCA","BOCA is a tuner that first builds an initial dataset of configurations and performance scores using up to 5 random samples to lay the foundation for subsequent predictive modeling. Core operations include: using a Random Forest Regressor to identify the top K (up to 8) high-impact configuration dimensions; generating candidate configurations by combining the cartesian product of high-impact parameters and random sampling of low-impact parameters; ranking candidates based on the Expected Improvement (EI) criterion, iteratively evaluating the optimal candidates, and updating the configuration history and optimal performance."
"ConEx","ConEx is a tuner that first initializes a configuration population (with a maximum size of 10 or 4 times the number of configuration dimensions) and establishes an initial optimal configuration and performance baseline through random sampling and evaluation. The core operations are generating new candidate configurations via crossover (blending parent configurations with the current optimal configuration at a 0.5 ratio) and mutation (fine-tuning a small number of parameters with a 0.06 probability); accepting new configurations based on performance improvement or associated probability thresholds, and supplementing random samples to maintain population size when the population falls below the target."
"FLASH","FLASH is a tuner that first constructs an initial dataset using up to 30 random samples (or a quarter of the budget) and encodes configuration values as numerical indices. Its core operation is training an unconstrained maximum-depth Decision Tree Regressor (CART), predicting 100 unique random candidate configurations based on this model, selecting the candidate with the optimal predicted performance for evaluation, and iteratively updating the configuration history and optimal results."
"OtterTune","OtterTune is a tuner that first builds an initial dataset of configurations and performance scores using up to 5 random samples. Core operations include: using a LassoCV pipeline with polynomial features and standard scaling to calculate parameter importance and dynamically adjust the number of high-impact configuration dimensions to focus on; ranking 100 candidate configurations (prioritizing sampling of high-impact parameters) using a Gaussian Process Regressor with Matern kernel (nu=2.5) combined with the Expected Improvement (EI) criterion, iteratively evaluating the optimal candidates and updating performance records."
"PromiseTune","PromiseTune is a tuner that first numerically encodes categorical configurations, establishes an initial dataset using training set configurations and their performance scores, and provides a foundation for causal and predictive modeling. Core operations include: extracting decision tree paths from a Random Forest Regressor as potential rules; validating these rules based on Average Causal Effects (ACEs) via the FCI algorithm and DirectLiNGAM (incorporating prior causal knowledge); generating candidates via cold-start random sampling or rule-constrained sampling, ranking them with Expected Improvement (EI), and iteratively updating the training dataset and causal rules."
"ResTune","ResTune is a tuner that first generates 10 initial candidates via Latin Hypercube Sampling (LHS, maximin criterion) instead of pure random sampling, and converts categorical configurations into numerical form using an Ordinal Encoder. Its core operation is adopting a Gaussian Process Regressor combining Matern kernel (nu=2.5) and White Kernel, normalizing encoded parameters, and optionally sampling training data to improve efficiency; ranking unique random candidates based on the Expected Improvement (EI) criterion with an exploration parameter (xi=0.01), and iteratively evaluating the optimal candidates."
"ROBOTune","ROBOTune is a tuner that first generates initial candidates via up to 30 (or a quarter of the budget) Maximin Latin Hypercube Sampling (LHS). Core operations include: using a Random Forest Regressor with permutation importance to identify high-impact configuration dimensions by comparing out-of-bag (OOB) scores before and after feature shuffling; calculating three acquisition functions (EI, PI, LCB) using a Gaussian Process Regressor combining Matern kernel (nu=2.5) and White Kernel; stochastically selecting the optimal acquisition function via the Hedge algorithm (adaptive weights based on cumulative gains and learning rate), ranking LHS-generated candidates and iteratively evaluating them."
"SWAY","SWAY is a tuner that first obtains up to 10,000 shuffled configurations from the full dataset and maps discrete configurations to integer indices for distance calculation. Its core operation is adopting a recursive partitioning strategy, splitting the configuration set into east and west subsets based on Euclidean distance projections of random extreme configurations; comparing subset performance via pairwise evaluation, pruning the worse subset and continuing recursive partitioning until the subset size falls below the square root threshold; finally evaluating the remaining candidate configurations and updating the optimal performance."
